component,category,cluster,environment,cluster_type,selected_version,desired_version,observed_version,version_state,presence,delivery_state,argo_sync_state,health_state,readiness_result,readiness_ready,readiness_desired,workload_state,proof_status,departure_id,departure_reason,unknown_reason,declared_overrides,render_object_count,render_sha256,evidence_scope,evidence
external-secrets,platform-component,hx-app-prod-a,prod,spoke,external-secrets/external-secrets@2.8.0,2.8.0,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
external-secrets,platform-component,hx-app-prod-b,prod,spoke,external-secrets/external-secrets@2.8.0,2.8.0,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
homer-dashboard,platform-component,hx-app-dev,dev,hub,kubara/homer-dashboard@0.1.0,0.1.0,b4bz/homer:v26.4.2,recorded-departure,rendered-intent,delivered,Synced,Healthy,pass,1,1,pass (1/1 ready),observed,,,,examples/kubara/current-platform/source/overrides/hx-app-dev/helm/homer-dashboard/values-project-links.yaml,8,0810f86226a13a70f24a345af9560536f773f054fb75a7cbaf2202ab64858d2d,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/homer-dashboard.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
homer-dashboard,platform-component,hx-app-staging,staging,spoke,kubara/homer-dashboard@0.1.0,0.1.0,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
homer-dashboard,platform-component,hx-app-prod-a,prod,spoke,kubara/homer-dashboard@0.1.0,0.1.0,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
homer-dashboard,platform-component,hx-app-prod-b,prod,spoke,kubara/homer-dashboard@0.1.0,0.1.0,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
kube-prometheus-stack,platform-component,hx-app-dev,dev,hub,prometheus-community/kube-prometheus-stack@87.19.2 + prometheus-community/prometheus-blackbox-exporter@11.15.1,87.19.2 + blackbox 11.15.1,87.19.2 + grafana-12.8.1 + kube-state-metrics-8.0.0 + prometheus-blackbox-exporter-11.15.1 + prometheus-node-exporter-4.56.1,matches-selection,rendered-intent,delivered,Synced,Healthy,pass,7,7,pass (7/7 ready),observed,crds-and-eso-secret-wiring-are-explicit-spaces,CRD lifecycle and Grafana secret production are separately governed and visibly linked.,,,116,a9c778d0a46b42a05f4296c6ab34fc75c62a5fb1efd5e1906ab10a7a25edaf92,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/kube-prometheus-stack.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
kube-prometheus-stack,platform-component,hx-app-staging,staging,spoke,prometheus-community/kube-prometheus-stack@87.19.2 + prometheus-community/prometheus-blackbox-exporter@11.15.1,87.19.2 + blackbox 11.15.1,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
kube-prometheus-stack,platform-component,hx-app-prod-a,prod,spoke,prometheus-community/kube-prometheus-stack@87.19.2 + prometheus-community/prometheus-blackbox-exporter@11.15.1,87.19.2 + blackbox 11.15.1,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
kube-prometheus-stack,platform-component,hx-app-prod-b,prod,spoke,prometheus-community/kube-prometheus-stack@87.19.2 + prometheus-community/prometheus-blackbox-exporter@11.15.1,87.19.2 + blackbox 11.15.1,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
metrics-server,platform-component,hx-app-dev,dev,hub,metrics-server/metrics-server@3.13.1,3.13.1,metrics-server-3.13.1,matches-selection,rendered-intent,delivered,Synced,Healthy,pass,1,1,pass (1/1 ready),observed,,,,examples/kubara/current-platform/source/overrides/hx-app-dev/helm/metrics-server/values-kind.yaml,10,da40e4395191e57b4a67b579a9b9e171461e960d9df22ae108bf2d262fa65f69,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/metrics-server.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
metrics-server,platform-component,hx-app-staging,staging,spoke,metrics-server/metrics-server@3.13.1,3.13.1,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
metrics-server,platform-component,hx-app-prod-a,prod,spoke,metrics-server/metrics-server@3.13.1,3.13.1,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
metrics-server,platform-component,hx-app-prod-b,prod,spoke,metrics-server/metrics-server@3.13.1,3.13.1,Unknown,selected-not-observed,disabled-by-config,not-selected,NotApplicable,NotApplicable,not-applicable,0,0,NotApplicable,disabled,kubara-config-disabled,service is disabled for this cluster in the committed Kubara contract,,,0,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
traefik,platform-component,hx-app-dev,dev,hub,traefik/traefik@41.0.2,41.0.2,traefik-41.0.2,matches-selection,rendered-intent,delivered,Synced,Healthy,pass,1,1,pass (1/1 ready),observed,kind-nodeport-with-configured-ingress-status,"The reproducible kind lane uses declared NodePorts and Traefik's configured cluster hostname, so Ingress status and Argo health converge without a cloud LoadBalancer controller.",,examples/kubara/current-platform/source/overrides/hx-app-dev/helm/traefik/values-kind.yaml,33,0c39aaa4266218d7c9cd5c29f8fd303b832d53345176fbd7bd2a94a14909ca7c,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-dev/traefik.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
traefik,platform-component,hx-app-staging,staging,spoke,traefik/traefik@41.0.2,41.0.2,traefik-41.0.2,matches-selection,rendered-intent,delivered,Synced,Healthy,pass,1,1,pass (1/1 ready),observed,kind-nodeport-with-configured-ingress-status,"The reproducible kind lane uses declared NodePorts and Traefik's configured cluster hostname, so Ingress status and Argo health converge without a cloud LoadBalancer controller.",,examples/kubara/current-platform/source/overrides/hx-app-staging/helm/traefik/values-kind.yaml,32,3ebec65bab14e1f48da29496d979c7463741f2e6f2697e46752a582d6d77633c,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-staging/traefik.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
traefik,platform-component,hx-app-prod-a,prod,spoke,traefik/traefik@41.0.2,41.0.2,traefik-41.0.2,matches-selection,rendered-intent,delivered,Synced,Healthy,pass,1,1,pass (1/1 ready),observed,kind-nodeport-with-configured-ingress-status,"The reproducible kind lane uses declared NodePorts and Traefik's configured cluster hostname, so Ingress status and Argo health converge without a cloud LoadBalancer controller.",,examples/kubara/current-platform/source/overrides/hx-app-prod-a/helm/traefik/values-kind.yaml,32,f3f494ffb978b154e083493974f39221f32ce5ec047f3e4caaced3d3310e3d81,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-prod-a/traefik.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
traefik,platform-component,hx-app-prod-b,prod,spoke,traefik/traefik@41.0.2,41.0.2,traefik-41.0.2,matches-selection,rendered-intent,delivered,Synced,Healthy,pass,1,1,pass (1/1 ready),observed,kind-nodeport-with-configured-ingress-status,"The reproducible kind lane uses declared NodePorts and Traefik's configured cluster hostname, so Ingress status and Argo health converge without a cloud LoadBalancer controller.",,examples/kubara/current-platform/source/overrides/hx-app-prod-b/helm/traefik/values-kind.yaml,32,9d5ce0593524ae3e9b2aaf99ec8fddf4a8c57332b9a07bff91f24456a034a4a1,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;data/kubara-effective-renders/current-platform/hx-app-prod-b/traefik.yaml;data/kubara-effective-renders/current-platform/receipt.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
hx-web,application,hx-app-dev,dev,hub,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,digest-pinned fixture,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,matches-selection,application-intent,delivered,Synced,Healthy,pass,3,3,pass (3/3 ready),observed,,,,,5,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/hx-web/base/deployment.yaml;examples/kubara/current-platform/apps/hx-web/base/namespace.yaml;examples/kubara/current-platform/apps/hx-web/base/service.yaml;examples/kubara/current-platform/apps/hx-web/platform/certificate.yaml;examples/kubara/current-platform/apps/hx-web/platform/ingress.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
hx-web,application,hx-app-staging,staging,spoke,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,digest-pinned fixture,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,matches-selection,application-intent,delivered,Synced,Healthy,pass,3,3,pass (3/3 ready),observed,staging-sandbox-url,Staging keeps its SANDBOX_URL departure through the second upstream promotion.,,,5,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/hx-web/base/deployment.yaml;examples/kubara/current-platform/apps/hx-web/base/namespace.yaml;examples/kubara/current-platform/apps/hx-web/base/service.yaml;examples/kubara/current-platform/apps/hx-web/platform/certificate.yaml;examples/kubara/current-platform/apps/hx-web/platform/ingress.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
hx-web,application,hx-app-prod-a,prod,spoke,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,digest-pinned fixture,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,matches-selection,application-intent,delivered,Synced,Healthy,pass,2,2,pass (2/2 ready),observed,one-target-rollback-replicas-2,prod-a is intentionally rolled back to two replicas while prod-b remains at three.,,,5,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/hx-web/base/deployment.yaml;examples/kubara/current-platform/apps/hx-web/base/namespace.yaml;examples/kubara/current-platform/apps/hx-web/base/service.yaml;examples/kubara/current-platform/apps/hx-web/platform/certificate.yaml;examples/kubara/current-platform/apps/hx-web/platform/ingress.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
hx-web,application,hx-app-prod-b,prod,spoke,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,digest-pinned fixture,nginx@sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,matches-selection,application-intent,delivered,Synced,Healthy,pass,3,3,pass (3/3 ready),observed,,,,,5,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/hx-web/base/deployment.yaml;examples/kubara/current-platform/apps/hx-web/base/namespace.yaml;examples/kubara/current-platform/apps/hx-web/base/service.yaml;examples/kubara/current-platform/apps/hx-web/platform/certificate.yaml;examples/kubara/current-platform/apps/hx-web/platform/ingress.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
cubbychat,application,hx-app-dev,dev,hub,commit e9e76a076924d95897c3ede7a0f21cec523c4f6f; 3 digest-pinned images,e9e76a076924d95897c3ede7a0f21cec523c4f6f,ghcr.io/confighub/cubbychat/backend@sha256:0d8342bcb139662ab76b962609f3f99da0b3aaa050a97ad7230eb0c73f440755 + ghcr.io/confighub/cubbychat/frontend@sha256:4e2c305b56af8414fab8f1ee2c3b075d96d7f60a7bd9f1c73c733e0ee81dffe5 + postgres@sha256:33f923b05f64ca54ac4401c01126a6b92afe839a0aa0a52bc5aeb5cc958e5f20,matches-selection,application-intent,delivered,Synced,Healthy,pass,3,3,pass (3/3 ready),observed,,,,,10,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend.yaml;examples/kubara/current-platform/apps/cubbychat/base/credentials.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend.yaml;examples/kubara/current-platform/apps/cubbychat/base/namespace.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres.yaml;examples/kubara/current-platform/apps/cubbychat/platform/certificate.yaml;examples/kubara/current-platform/apps/cubbychat/platform/ingress.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
cubbychat,application,hx-app-staging,staging,spoke,commit e9e76a076924d95897c3ede7a0f21cec523c4f6f; 3 digest-pinned images,e9e76a076924d95897c3ede7a0f21cec523c4f6f,ghcr.io/confighub/cubbychat/backend@sha256:0d8342bcb139662ab76b962609f3f99da0b3aaa050a97ad7230eb0c73f440755 + ghcr.io/confighub/cubbychat/frontend@sha256:4e2c305b56af8414fab8f1ee2c3b075d96d7f60a7bd9f1c73c733e0ee81dffe5 + postgres@sha256:33f923b05f64ca54ac4401c01126a6b92afe839a0aa0a52bc5aeb5cc958e5f20,matches-selection,application-intent,delivered,Synced,Healthy,pass,3,3,pass (3/3 ready),observed,,,,,10,,validated source-current liveMatrix row in runs/kubara-mini-idp-reconcile/receipt.yaml,examples/kubara/current-platform/source/config.yaml;examples/kubara/current-platform/component-artifacts.yaml;examples/kubara/current-platform/apps/source-lock.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/backend.yaml;examples/kubara/current-platform/apps/cubbychat/base/credentials.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/frontend.yaml;examples/kubara/current-platform/apps/cubbychat/base/namespace.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres-service.yaml;examples/kubara/current-platform/apps/cubbychat/base/postgres.yaml;examples/kubara/current-platform/apps/cubbychat/platform/certificate.yaml;examples/kubara/current-platform/apps/cubbychat/platform/ingress.yaml;runs/kubara-mini-idp-reconcile/receipt.yaml
